post,tags
printing a character when no other output was printed  how do i print a particular character when up to that point in my code  no condition has been satisfied  example :  if i have an array of 100 numbers and if i traverse the array by  for  loop and do not find my number  how do i print a single line   not found        i am using c++.,c++
update tables depending on parameter value mysql  i m having a bad day and can t think of an answer to this...    on my form i have a number of inputs  i m updating some of them back to the database when the save button is pressed. my issue i m thinking is.     how can i match the input field which i have stored as a parameter and check to see if this differs from what is already input or if the field is null then update with the parameter value  and another parameter value is x for example how can i update another table     as an example my form has name  telephone  rented/owned  house type &amp; notes. when i click the save button these values will be pushed into a procedure using in parameters. i ve updated fields in the table with the values which is great but  is there a way to check that the parameter value is different than what is in the table already and update this. as i don t want to update all the fields if they don t need to be. also say rented/owned parameter was rented then is there a way to update a different table.     how is it possible to write in the procedure if parameter x = rented update table a else update table b,mysql
can we store alphanumeric values in int data type  can alphanumeric values be stored in an int data type or do we need a char to store it,c
why exectuing function doesnt work   i have an input  which when im clicking - i want to see alert with  1 2 3 4...  (each press)   <pre><code>&lt;input type= button  value= press  onclick= clicked();   /&gt;   &lt;script&gt;   var t     function clicked()       {         t=func;         t();       }          function func()       {         var count=0;          return new  function ()   // &lt;===  new or not new               {           count++;           alert(count);           }       }  &lt;/script&gt;        if im adding the  new  in the return and click   it says :  1 1 1 1 ...  </code></pre>   if im removing the  new  it doesnt work...    my goal is to use this to get :  1 2 3 4...     can someone explain to me what happens,javascript
how to css div 100%  i m trying to edit a css div to display 100% text on it     my code is:   <pre><code>#categorycontent  .categorycontent {     display:block;     line-height:22px;     height:290px;     margin:0;     padding:4px 10px;     background:#ecebe3;     border:1px solid #d5d3c7; } </code></pre>   im trying something like:   <pre><code>#categorycontent  .categorycontent{     display:block;     line-height:100%;     height:100%;     margin:0;     padding:4px 10px;     background:#ecebe3;     border:1px solid #d5d3c7; } </code></pre>   but this isnt working.    im beginner in css  thank you.    edit: screenshot with height:290px; <a href= http://i45.tinypic.com/359z2ti.png  rel= nofollow >http://i45.tinypic.com/359z2ti.png</a>    and screenshot with height:100%; <a href= http://i46.tinypic.com/fwq4q8.png  rel= nofollow >http://i46.tinypic.com/fwq4q8.png</a>,css
write a program (or algorithm) in python which breaks up a string of texts into even and odd characters <pre><code>def breakstring(str):     i = 0     even = []     odd = []     for char in str         if (i%2==0)             even.push(char)         else             odd.push(char) </code></pre>   for some reason  this is not running in my python.,python
how can i make an array of a block in rails   i want to use to_sentence method on the block of code to return the names with   separated :   <pre><code>&lt;% @products_in_category.each do |pic| %&gt;   &lt;%= pic.name %&gt; &lt;% end %&gt; </code></pre>   how can i do this,ruby-on-rails
html meta charset not working  at the beginning of my page  i have the following code:   <pre><code>&lt;html&gt; &lt;head&gt; &lt;meta charset= utf-8 &gt; &lt;title&gt;  //other </code></pre>   i used the <code>meta</code> because i have to put in my website some japanese characters. here you can see an example:   <pre><code>&lt;tr&gt; &lt;td&gt;&lt;label class= blacktd  onmouseover= apriimg( imgbox    4 ); &gt; shy guy bazaar &lt;/label&gt;&lt;/td&gt; &lt;td&gt;&lt;a href= http://www.youtube.com/watch v=kpmkzicd7fc &gt;2 03 007&lt;/a&gt;&lt;/td&gt; &lt;td&gt;そうめん&lt;/td&gt; //look at here &lt;td&gt;&lt;img src= http://mk7vrlist.altervista.org/flags/jp.gif  /&gt;&lt;/td&gt; &lt;td&gt;2013/06/30&lt;/td&gt; &lt;/tr&gt; </code></pre>   i googled this and i saw that i simply need to put that  tag with the <code>charset</code> attribute. by the way my webpage shows <code>%u305d%u3046%u3081%u3093</code> instead of  そうめん . do you know why,html
download file to website using php  i have a file with url !   <pre><code>$url =  http://www.example.com/aa.txt ; </code></pre>   and i want to download this file and save it to path on my website    this is my website ( online )   <pre><code>$path =  server/username/ ; </code></pre>   i want the <code>$url</code> file saved to <code>$path</code>       i try this        <pre><code>if (file_exists($file)) {     header( content-description: file transfer );     header( content-type: application/octet-stream );     header( content-disposition: attachment; filename= .basename($file));     header( expires: 0 );     header( cache-control: must-revalidate );     header( pragma: public );     header( content-length:   . filesize($file));     readfile($file);     exit; }  &gt; </code></pre>   when i test the code   it make the file download to my computer not to my website,php
does response.redirect() kill page functionality   i ve got a simple question. if i m using a response.redirect()  will that kill all page functionality assuming the user cancels the redirect     for example  pretend i have a page with a button that  when pressed  pops up a message that says  hi . then  at some point in the code  the user encounters a response.redirect(). before the page is cleared on the browser  they hit stop in their browser. then  they click the button. will it still say  hi   or will the page be non-functional     edit for more information: maybe i am just not understanding the answers  but i still don t have an answer to my question. let me rephrase to be more precise.    i have two buttons that both execute a c# function when they are clicked. one of them executes a response.redirect() to a different page. the other prints out  hi  in a message box. the user presses button 1. the response.redirect starts processing  but before the user is redirected they decided that they made a mistake and they hit the stop button in their browser. the user is still looking at the same web page. they click on button #2. my question is  does the message  hi  pop up  does the c# function still work  or would the code behind be inaccessible after the <em>attempted</em> redirect,asp.net
sql update table from another table  using sql in access  trying to  update  a table  with the user name  from another table. the 3rd line below (sqlnm2...) says error-2465 cant find field  | . i ve tried changing the expression many ways but no success. any assistance would be greatly appreciated.   <pre><code>dim sqlnm as string   dim sqlnm2 as string   sqlnm2 = sqlnm2 &amp;        &amp; [employees]![nbk] &amp;   );    sqlnm =   update tbl_datetracking set nbk =     sqlnm = sqlnm &amp;     &amp; sqlnm2 &amp;    where     sqlnm = sqlnm &amp;  caseid =    &amp; caseid &amp;    and occ_scenario =    &amp; occ_scenario &amp;   ;    docmd.runsql sqlnm  </code></pre>,sql
modal popup extender is not working in visual studio 2013 for web  i am encountering this issue:   <blockquote>    asp.net ajax client-side framework failed to load  </blockquote>   when i tried to open the modal popup-blocker.     how can i solve this  i ve been struggling for weeks...    here s the code for the same:   <pre><code>&lt;form id= form1  runat= server &gt;     &lt;cc:toolkitscriptmanager id= sc1  runat= server &gt;&lt;/cc:toolkitscriptmanager&gt; &lt;div&gt;      &lt;asp:button id= modalcall  runat= server  onclick= modalcall_click  text= modalcall  /&gt;      &lt;cc:modalpopupextender id= mod1  runat= server  cancelcontrolid= btn1  popupcontrolid= pan1  targetcontrolid= modalcall &gt;&lt;/cc:modalpopupextender&gt;      &lt;asp:panel id= pan1  runat= server &gt;          &lt;asp:button id= register  runat= server  onclick= register_click  text= register  /&gt;     &lt;asp:textbox id= email  runat= server &gt;&lt;/asp:textbox&gt;     &lt;asp:textbox id= password  runat= server &gt;&lt;/asp:textbox&gt;     &lt;asp:textbox id= confirmpassword  runat= server &gt;&lt;/asp:textbox&gt;      &lt;br /&gt;     &lt;asp:button id= login  runat= server  onclick= login_click  text= login  /&gt;     &lt;asp:textbox id= loginemail  runat= server &gt;&lt;/asp:textbox&gt;     &lt;asp:textbox id= loginpassword  runat= server &gt;&lt;/asp:textbox&gt;     &lt;br /&gt;     &lt;asp:button id= callservice  runat= server  onclick= callservice_click  text= call service  /&gt;     &lt;br /&gt;     &lt;asp:button id= changepassword  runat= server  onclick= changepassword_click  text= changepassword  /&gt;     &lt;asp:textbox id= oldpassword  runat= server &gt;&lt;/asp:textbox&gt;     &lt;asp:textbox id= newpassword  runat= server &gt;&lt;/asp:textbox&gt;     &lt;asp:textbox id= confirmchangedpassword  runat= server &gt;&lt;/asp:textbox&gt;      &lt;br /&gt;          &lt;br /&gt;         &lt;br /&gt;         &lt;asp:button id= btn1  runat= server  text= hide  /&gt;     &lt;/asp:panel&gt;  &lt;/div&gt; &lt;/form&gt; </code></pre>,asp.net
send path to application with shell context menu  i like to send an path to my application with shell context menu.    i use the following shell context menu which send this command prompt  c:\loger.exe /clog which runs the app only to my app. how to send the selected path instead of only running the app.     ps im using .net2     thank you     c:\loger.exe /clog    <img src= https://i.stack.imgur.com/gyls8.jpg  alt= alt text >,.net
previewing html code in an html page  i want to preview some html code in an html page. but when i do this  the browser treats it as a actual html  instead of just previewing it (including its tags for example). how can i prevent this from happening <br/> you may think of this page as a tutorial to html that wants to present some html examples to the learners.,html
how to write an image on disk from blob   i am tring to create an image file from database on disk. i wrote the following code:   <pre><code>{     oracle.sql.blob blob1 = (blob) rs.getblob(1);      //fillfilepath is file path      file blobfile   = new file(fillfilepath);     string checkexe[]=fillfilepath.split( \\. );      fileoutputstream  outstream  = new fileoutputstream(blobfile);      inputstream instream   = blob1.getbinarystream();       int length  = -1;      int size    = blob1.getbuffersize();      byte[]  buffer  = new byte[size];       bufferedimage image = imageio.read( instream );     system.out.println( inside image upload );      system.out.println( inside image jpg );     imageio.write(image   jpg   outstream); </code></pre>   but it is not working.     please give me any suggestions,java
remove nonalphabet characters from a string  i have a string like <code> lake1! </code> and i want to remove non nonalphabet characters from this string.    how can i do that  also  this is just an example but in general if have some string how can i remove nonalphabet characters from it     for example: <code> lake1! </code> should return <code> lake </code> with <code>1</code> and <code>!</code> removed.,python
obj c: how to scale only to up   hey everbody. i have a little issue here. i just want to scale my view  but only to up. i mean  i dont want it move out from original coords  i just want to scale in one direction  without affecting the position.   <pre><code>[uiview beginanimations: @ myviewanimation  context: nil];     [uiview setanimationduration:1.0];       redview.transform = cgaffinetransformmakescale(1.0  3.0);      [uiview commitanimations]; </code></pre>   thanks!,objective-c
how to look for values in database and return an array of values  i m looking for a way to search a mysql database for specific values and put these in an array.    the contacts table has <code>name</code> <code>email</code> <code>group</code> <code>phone</code>...    i would like to search the database by group and return the email adresses in an array  separated by <code> </code> (comma) to use further in my code.    what is the best way to do this    <pre><code>$result = mysqli_query($link  select * from contacts where group= group 1  )      or die(mysqli_error());   ...      while($row = mysqli_fetch_array( $result ))      {          array ( row-&gt;email ...)     } </code></pre>,mysql
how do you align dynamically generated divs to right and left side of the parent without losing the margin between them   lets say i have a website where  on every page  there is a large picture of a kitten.  this picture is exactly the same on every page.  below it are smaller divs  containing pictures of related kittens  which are dynamically generated... the number also varies  on some pages there may be five  on others there could be 30.  i ve drawn a crude picture of the layout here:    <img src= https://i.stack.imgur.com/pjmlq.png  alt= terrible drawing of mycatwebsite.net >    here s what i m looking to do... i need to:   <ol> <li>make sure the smaller pictures both align left and align right with the larger picture above it.</li> <li>give the divs a small percentage of space between each other.</li> <li>allow the divs to stack when the screen gets smaller.</li> </ol>   when aligning smaller divs in a row with a larger one above it  my usual approach is to do something like this:   <pre><code>.little_divs {      margin-left:2%; } .little_divs:first-child {      margin-left: 0px; } </code></pre>   that would easily allow me to have both the left and right sides match up with the div above it.  my problem is that this technique will not work for the next rows  if there are more than three.    my next idea was to contain each group of three in their own div  and apply the first child rule there... however  that brings up a problem of when it collapses down to the smaller screen sizes.  if i group them in three and apply the rule  once they are two across  it will no longer work.    i could make a complicated solution involving javascript  but i was hoping for a pure css/html solution.    let me know if you have any questions on this.,css
undefined index: name when processing a form within a class  i am having an issue when processing form data. when the form is submitted  an object from the <code>sign_up</code> class is created and the <code>$_post</code> array is validated within this class. various  if  statement checks are then carried out to filter out unwanted chars  if the result does not equal  0   then a message is added to an array  please see an extract below   <pre><code>    &lt; php     include( super_class.php );      class signup_user extends super_class {           protected $errors = array();       public function processuserinput() {            if($_server[ request_method ]== post ) {                  if(0 == preg_match( /\s+/  $name = $_post[ name ])) {                      $this-&gt;errors[ name ] =  please enter your first name. ;           } </code></pre>   the form has php code  which execute the following  when a field has not been filled in  etc   <pre><code>    &lt; php if(isset($_post[ name ])) { echo $sign_up-&gt;geterror( name );} &gt;    </code></pre>   the <code>geterror</code> code in the <code>sign_up</code> class object.   <pre><code>    public function geterror($name) {      if($this-&gt;errors[$name]) {         return $this-&gt;errors[$name];     } } </code></pre>   if i load the form and just press  submit  all errors print out next to the input fields as intended  however if i enter some text into the name input box for example  i get the following error: <code>notice: undefined index name</code>  and points to the geterror function     i thought i may need to define the <code>$_post</code> array into variables first and then check them  but the result was still the same.    hope someone can help  i have been going round in circles on this one!!,php
#define string cast to lpcstr or std::string  if i have a <code>#define gamename  poseidon </code> and would like to cast it over to either a lpcstr or std::string how would i go about doing it  properly      fx:    <pre><code>m_hwnd = createwindowex(null       glclass        /* my gamename #define goes here */     (lpcstr)gamename       dwstyle | ws_clipchildren |     ws_clipsiblings      /* the x y coordinate */     0  0      m_windowrect.right - m_windowrect.left      m_windowrect.bottom - m_windowrect.top      /* todo: handle to parent */     null      /* todo: handle to menu */     null      m_hinstance      this); </code></pre>   perhaps i am just taking a bad approach to this,c++
queryselectorall() with regex attribute selector <pre><code>var arr = [].slice.call(document.queryselectorall( a[href*= pricing ] )); </code></pre>   returns an array with length 6.   <pre><code>var arr = [].slice.call(document.queryselectorall( a[href*= tarification ] )); </code></pre>   also produces an array of length 6.    the context is a website with either english or french pages. either of the two versions or arr will return 6 results on a given page while the other will produce an empty array.    i would like to dynamically account for this. so regardless if the user is on a french or english page i know that one or the other versions will return 6 elements. i could write an <code>if()</code> statement. but is there a neater  shorter way  i tried the following:   <pre><code>var arr = [].slice.call(document.queryselectorall( a[href*= (tarification|pricing) ] )); </code></pre>   but that also returned an empty array.,javascript
why does my website appear smaller on a live server than when deployed locally   i designed a website in localhost. but when i upload it on live server it is smaller than it  is when deployed on localhost. i had set the zoom properties in all browsers to 100%  but that made no difference.    this is on localhost (big) <a href= http://postimage.org/image/rcihvhvx5/  rel= noreferrer >http://postimage.org/image/rcihvhvx5/</a> <br> and on live server (small)  <a href= http://postimage.org/image/5jfq4gqjl/  rel= noreferrer >http://postimage.org/image/5jfq4gqjl/</a><br>    why does this happen,html
get table names using select statement in mysql  in mysql  i know i can list the tables in a database with:   <pre><code>show tables </code></pre>   however  i want to insert these table names into another table  for instance:   <pre><code>insert into metadata(table_name) show tables /* does not work */ </code></pre>   is there a way to get the table names using a standard select statement  something like:   <pre><code>insert into metadata(table_name) select name from table_names /* what should table_names be  */ </code></pre>,mysql
where is the path set for request.apprelativecurrentexecutionfilepath  i need to know the path for <code>request.apprelativecurrentexecutionfilepath</code>. it gives the wrong file path when i retrieve any requests.,asp.net
why there still have error return type required   i want to draw a line from value in function before. therefore  i need a return function so  it more smoothly to draw a line in graphic function.    i confused  why there still error since i was put the return function. please help me..     program.java:45: invalid method declaration; return type required    <pre><code>   public static sll(int sll)     public program()   {      super( myprogram ); //window name      .....      computebutton.addactionlistener(this);   }      public void actionperformed(actionevent ee)   {   }    public static sll(int sll)   {  ....       homeposition hp[][] = new homeposition[2][6];      homeposition dp[][]= new homeposition[2][6];      homeposition fb[][] =new homeposition[2][6];      ...      fb[1][0].x= fb[2][0].x=40;      fb[1][0].y=fb[2][0].y=40;       hp[1][0].x = 40;       hp[1][0].y = 30;              hp[1][1].x = 26;       hp[1][1].y = 30;               dp[1][0].x = 30;           dp[1][0].y =40;          dp[1][1].x = 16;           dp[1][1].y = 40;          sll.slx[m][n]=hp[m][n].x;       return sll;   }     public void paint(graphics g) {      super.paint(g);            }         basicstroke stroke;      graphics2d g2 = (graphics2d)g;       stroke = new basicstroke(4.0f);       g2.setstroke(stroke);     .....       for (m=1;m&lt;=2;m++){         for (n=0;n&lt;=1;n++){              g2.drawline( sll.slx[m][n]*m 40*m 40*m 30*m);         }      }   }     public static void main(string[] arguments)   {      program frame=new program();      final int width=910;      final int length=725;      frame.setsize(width length);      final int buttonwidth=30;      final int buttonheight=10;      frame.setvisible(true);   } } </code></pre>,java
open a facebook page -is it true   i have read everywhere so many different things about opening the facebook app from another app  and some says its not official and can be changed  some say its ok     but anyway it doesnt work for me (and for many others-with broken pages)    i use :   <pre><code>nsurl *url = [nsurl urlwithstring:@ fb://pages/my-app-page ]; [[uiapplication sharedapplication] openurl:url]; </code></pre>   its open the facebook app  but with a white page. on my mac- this link is working.    so  is this thing is real,objective-c
mysql - how to find which hour has the most number of searches  i m having trouble with using datetime values. i want to find which hour has the most number of searches here is some sample data    <pre><code> srch_id         dttime   1             2013-04-04 08:32:15   1             2013-04-04 08:32:15   1             2013-04-04 08:32:15   1             2013-04-04 08:32:15   2             2012-12-31 08:59:22   2             2012-12-31 08:59:22   2             2012-12-31 08:59:22   3             2013-12-31 09:22:22   3             2013-12-31 09:22:22 </code></pre>   this is the result i want   <pre><code>  searches      hourofsearch   7             08 </code></pre>   select srch_id  (hour(dttime) from table... not sure where to go from here,mysql
angular delete a record from the database  i am trying to delete a record from the database using angular services. i created a method in my mvc controller but i don t know how to call this method and pass the id.   <pre>     [httppost]         public static void deleterecord(int settingid)         {             try             {                 using (sqlconnection conn = new sqlconnection(connstringapps))                 {                     conn.open();                     using (sqlcommand command = new sqlcommand( deletecurrentrecord   conn))                     {                         command.commandtype = system.data.commandtype.storedprocedure;                         command.parameters.add( @settingid   sqldbtype.varchar).value = settingid;                         command.executenonquery();                         command.parameters.clear();                     }                     conn.close();                 }             }             catch (exception ex)             {                 console.write(ex.tostring());             }          }           myapp.service( deleteservice   function ($rootscope) {             this.removerow = function (recid) {              }         });            myapp.controller( mycontroller   [ $scope   deleteservice             function ($scope  deleteservice) {                $scope.deleterecordfromdb = function (recid) {                   //record id is the id of the record that i want to delete               }               ;           }         ]); </pre>,angularjs
fixing a query in mysql  i need to display the code of the department in the school table with the highest total salary of any department.     so i tried this:   <pre><code>select max(total)  dept   from (select sum(salary) as total  dept from school group by dept) as temp; </code></pre>   which gives me the correct result; however it shows the field max(total) and i just want the code of the department to show. what should i change,mysql
transitions of the process to different states  suppose i have a simple c program.i want to know the transitions this program makes that is if it goes into a blocked state or suspended state etc. as it is getting executed.can someone please explain taking a simple c program and going through the transitions for each line of code,c
repeated template in class methods  suppose i have this class:   <pre><code>class foo:         method1(){}         method2(){}         method3(){} ... </code></pre>   and suppose i have some action i wanted to do repeatedly in several methods in the class. each action will take before the methods occur and after it occur. is there an elegant way to implement it  the only way came to my mind:   <pre><code>private void setup(action action) {   //do something before   action   //do something after }  private void method1(args) {    setup(()=&gt;method) } </code></pre>   but it will make me call repeatedly call for setup in each function i would like to implement it.,c#
how to view classess  functions  objects diagrams from existing php code  <blockquote>    <strong>possible duplicate:</strong><br>   <a href= https://stackoverflow.com/questions/393603/php-uml-generator >php uml generator</a>    </blockquote>     i am trying to understand some php code that is heavily object-oriented and has a mvc structure.. without much luck from just browsing the code.    is their a tool that can help me  for example by producing some class diagrams  which classes extend which ones  what functions each class has and how they communicate  even in a high level,php
repeated bitwise shift  i have some code which extracts bits from a number:   <pre><code>uint32_t foo = getvalue(); /*this just returns a value for `foo`*/  while (foo){     foo &lt;&lt;= 2;     dosomethingwithfoo(foo); } </code></pre>   i m worried that i have undefined behaviour here since i ll end up  overshifting  <code>foo</code>. am i correct,c
difference between appdomain  assembly  process  and a thread  what is the difference between <strong>appdomain</strong>  <strong>assembly</strong>  <strong>process</strong>  and a <strong>thread</strong>,.net
passing button tag to perform segue identifier  i have a table view with custom cells. on the cell there are buttons identified with tags. every button performs an action. as example:   <pre><code>-(void)mapa_button_action:(uibutton*)sender {     nslog(@ cancelar button clicked=%ld  (long)sender.tag);     nsstring *employee =[[historialservicios objectatindex:sender.tag] valueforkey:@ driverid ];     nslog(@ employee=%@  employee);     [self performseguewithidentifier:@ mapa_conductor_segue  sender:self];  } </code></pre>   as you can see  the button is identified with the sender.tag property. in this case  the action performs a segue  and later  it performs the prepareforsegue method  where i can pass variables to the new view controller.   <pre><code>- (void)prepareforsegue:(uistoryboardsegue *)segue sender:(id)sender {     if ([segue.identifier isequaltostring:@ mapa_conductor_segue ]) {         nsindexpath *indexpath = [self.tableview indexpathforselectedrow];         nslog(@ indexpath=%@  indexpath);     } } </code></pre>   what i need is to retrieve the values from the selected cell to the new view controller. i am able to get the values in the map_button_action method  but i don t know how  to pass these values to the new controller.    i must use the performseguewithidentifier action in order to maintain the view controllers structure  i am using swrevealviewcontrollers.    any help is welcome.,ios
